COMUNE PROVENIENZA,STATO PROVENIENZA,PR PROVENIENZA,DATA
FERRARA,ITALIA,FE,2015-08-12
SAN DONÀ DI PIAVE,ITALIA,VE,2001-02-27
SAN DONÀ DI PIAVE,ITALIA,VE,2007-07-17
PAESE,ITALIA,TV,2007-01-23
NOVENTA DI PIAVE,ITALIA,VE,2018-12-24
FOSSALTA DI PIAVE,ITALIA,VE,2018-04-26
FOSSALTA DI PIAVE,ITALIA,VE,2018-04-26
CAVA DÈ TIRRENI,ITALIA,SA,2002-04-03
TRENTO,ITALIA,TN,2018-05-08
SIRACUSA,ITALIA,SR,2008-08-18
MUSILE DI PIAVE,ITALIA,VE,2004-06-29
SAN STINO DI LIVENZA,ITALIA,VE,2016-08-17
SAN DONÀ DI PIAVE,ITALIA,VE,2007-10-15
MUSILE DI PIAVE,ITALIA,VE,2014-07-31
SAN DONÀ DI PIAVE,ITALIA,VE,2010-08-06
SAN STINO DI LIVENZA,ITALIA,VE,2016-08-17
PONTE DI PIAVE,ITALIA,TV,2017-06-21
MOTTA DI LIVENZA,ITALIA,TV,2003-09-03
GROTTAMMARE,ITALIA,AP,2015-03-05
COMISO,ITALIA,RG,2012-09-12
NOVENTA DI PIAVE,ITALIA,VE,2015-12-01
NOLA,ITALIA,NA,2008-09-04
BENEVENTO,ITALIA,BN,2009-07-04
ERACLEA,ITALIA,VE,2015-07-07
ROMA,ITALIA,RM,2001-09-17
ERACLEA,ITALIA,VE,2000-03-14
SAN DONÀ DI PIAVE,ITALIA,VE,2012-03-02
MUSILE DI PIAVE,ITALIA,VE,2008-06-16
SAN DONÀ DI PIAVE,ITALIA,VE,2008-07-10
JESOLO,ITALIA,VE,2013-05-18
ARSOLI,ITALIA,RM,2019-03-22
CEFALÙ,ITALIA,PA,2013-09-28
PORTOGRUARO,ITALIA,VE,2001-05-17
SAN DONÀ DI PIAVE,ITALIA,VE,2016-10-03
JESOLO,ITALIA,VE,2019-11-23
SAN DONÀ DI PIAVE,ITALIA,VE,2020-05-26
SAN DONÀ DI PIAVE,ITALIA,VE,2018-10-31
SOMMA VESUVIANA,ITALIA,NA,2009-02-03
CAIVANO,ITALIA,NA,2011-01-05
SAN DONÀ DI PIAVE,ITALIA,VE,2004-04-27
SAN DONÀ DI PIAVE,ITALIA,VE,2007-04-23
SAN DONÀ DI PIAVE,ITALIA,VE,2018-12-25
SAN DONÀ DI PIAVE,ITALIA,VE,2019-11-22
SAN DONÀ DI PIAVE,ITALIA,VE,2017-02-14
MONASTIER DI TREVISO,ITALIA,TV,2011-03-29
SAN DONÀ DI PIAVE,ITALIA,VE,2018-07-04
SAN DONÀ DI PIAVE,ITALIA,VE,2011-05-31
CAVALLINO-TREPORTI,ITALIA,VE,2019-07-17
MUSILE DI PIAVE,ITALIA,VE,2016-12-17
VENEZIA,ITALIA,VE,2003-08-21
VENEZIA,ITALIA,VE,2007-03-08
VENEZIA,ITALIA,VE,2011-01-21
SAN DONÀ DI PIAVE,ITALIA,VE,2005-05-08
VENEZIA,ITALIA,VE,2005-10-31
VENEZIA,ITALIA,VE,2003-08-21
ERACLEA,ITALIA,VE,2013-09-28
PUTIGNANO,ITALIA,BA,2009-07-21
JESOLO,ITALIA,VE,2019-05-10
SALERNO,ITALIA,SA,2019-07-31
ACERRA,ITALIA,NA,2018-05-28
SALERNO,ITALIA,SA,2019-07-31
SAN DONÀ DI PIAVE,ITALIA,VE,2005-01-24
SAN DONÀ DI PIAVE,ITALIA,VE,2003-02-20
MONASTIER DI TREVISO,ITALIA,TV,2020-09-21
PONTE DI PIAVE,ITALIA,TV,2012-10-25
SAN DONÀ DI PIAVE,ITALIA,VE,2001-05-05
,BRASILE,,2018-07-09
,BRASILE,,2018-07-09
NOVENTA DI PIAVE,ITALIA,VE,2010-08-09
SAN DONÀ DI PIAVE,ITALIA,VE,2019-09-19
MEOLO,ITALIA,VE,2017-12-05
SAN DONÀ DI PIAVE,ITALIA,VE,2017-07-09
MEOLO,ITALIA,VE,2017-12-05
SAN DONÀ DI PIAVE,ITALIA,VE,2015-12-06
JESOLO,ITALIA,VE,2000-11-24
JESOLO,ITALIA,VE,2000-11-24
SAN DONÀ DI PIAVE,ITALIA,VE,2005-05-05
CAVALLINO-TREPORTI,ITALIA,VE,2013-04-06
SAN DONÀ DI PIAVE,ITALIA,VE,2014-06-25
SAN DONÀ DI PIAVE,ITALIA,VE,2014-06-25
ERACLEA,ITALIA,VE,2007-10-09
ERACLEA,ITALIA,VE,2004-01-20
SAN DONÀ DI PIAVE,ITALIA,VE,2010-02-20
SAN DONÀ DI PIAVE,ITALIA,VE,2015-03-30
SALGAREDA,ITALIA,TV,2014-08-05
SALGAREDA,ITALIA,TV,2014-08-05
SALGAREDA,ITALIA,TV,2020-04-04
,GERMANIA,,2018-01-15
MUSILE DI PIAVE,ITALIA,VE,2006-01-03
SAN STINO DI LIVENZA,ITALIA,VE,2018-08-29
MUSILE DI PIAVE,ITALIA,VE,2017-01-11
CONEGLIANO,ITALIA,TV,2020-01-29
MONASTIER DI TREVISO,ITALIA,TV,2020-10-09
SALGAREDA,ITALIA,TV,2015-07-15
SAN BIAGIO DI CALLALTA,ITALIA,TV,2011-10-08
,BRASILE,,2017-10-11
JESOLO,ITALIA,VE,2004-05-19
VENEZIA,ITALIA,VE,2003-08-21
SAN DONÀ DI PIAVE,ITALIA,VE,2006-11-23
SAN DONÀ DI PIAVE,ITALIA,VE,2007-03-21
NOVENTA DI PIAVE,ITALIA,VE,2005-11-24
NOVENTA DI PIAVE,ITALIA,VE,2005-11-24
JESOLO,ITALIA,VE,2020-06-10
ISTRANA,ITALIA,TV,2011-04-11
PALO DEL COLLE,ITALIA,BA,2018-05-07
PALO DEL COLLE,ITALIA,BA,2018-05-07
,POLONIA,,2009-11-06
,ROMANIA,,2007-02-15
,ROMANIA,,2007-02-15
JESOLO,ITALIA,VE,2019-10-25
SAN STINO DI LIVENZA,ITALIA,VE,2015-03-24
,MAROCCO,,2009-07-20
SAN STINO DI LIVENZA,ITALIA,VE,2017-06-22
MUSILE DI PIAVE,ITALIA,VE,2019-07-15
CEGGIA,ITALIA,VE,2018-06-29
SAN DONÀ DI PIAVE,ITALIA,VE,2019-07-09
MUSILE DI PIAVE,ITALIA,VE,2019-07-15
MUSILE DI PIAVE,ITALIA,VE,2019-07-15
MUSILE DI PIAVE,ITALIA,VE,2001-06-05
MUSILE DI PIAVE,ITALIA,VE,2019-06-12
,MAROCCO,,2018-09-13
NOVENTA DI PIAVE,ITALIA,VE,2019-01-26
NOVENTA DI PIAVE,ITALIA,VE,2018-02-06
,ALBANIA,,2018-12-18
SAN DONÀ DI PIAVE,ITALIA,VE,2017-06-10
MUSILE DI PIAVE,ITALIA,VE,2017-06-17
CESSALTO,ITALIA,TV,2019-06-14
SAN DONÀ DI PIAVE,ITALIA,VE,2010-05-31
SAN DONÀ DI PIAVE,ITALIA,VE,2010-05-31
NOVENTA DI PIAVE,ITALIA,VE,2008-09-29
SANTO STINO DI LIVENZA,ITALIA,VE,2005-05-07
NOVENTA DI PIAVE,ITALIA,VE,2008-10-01
,SUD AFRICA,,2013-06-18
MUSILE DI PIAVE,ITALIA,VE,2017-11-16
SAN DONÀ DI PIAVE,ITALIA,VE,2008-03-16
SAN DONÀ DI PIAVE,ITALIA,VE,2010-09-13
SAN DONÀ DI PIAVE,ITALIA,VE,2005-09-25
SAN DONÀ DI PIAVE,ITALIA,VE,2008-03-14
ERACLEA,ITALIA,VE,2016-06-20
CASTELNOVO DEL FRIULI,ITALIA,PN,2002-09-10
SAN DONÀ DI PIAVE,ITALIA,VE,2018-11-29
MARENO DI PIAVE,ITALIA,TV,2016-10-04
CASTELNOVO DEL FRIULI,ITALIA,PN,2002-09-10
VITTORIO VENETO,ITALIA,TV,2020-06-19
SAN DONÀ DI PIAVE,ITALIA,VE,2003-03-21
MIRA,ITALIA,VE,2000-07-31
SAN DONÀ DI PIAVE,ITALIA,VE,2008-12-23
FONTANELLE,ITALIA,TV,2015-07-03
MEOLO,ITALIA,VE,2020-11-05
SARMEDE,ITALIA,TV,2009-02-02
FOSSALTA DI PIAVE,ITALIA,VE,2012-01-17
JESOLO,ITALIA,VE,2000-05-23
SAN DONÀ DI PIAVE,ITALIA,VE,2005-04-15
SAN DONÀ DI PIAVE,ITALIA,VE,2006-12-08
PADOVA,ITALIA,PD,2003-11-12
MIRANO,ITALIA,VE,2015-10-12
COSSATO,ITALIA,BI,2020-07-07
SAN DONÀ DI PIAVE,ITALIA,VE,2016-07-12
SAN DONÀ DI PIAVE,ITALIA,VE,2007-11-04
SAN DONÀ DI PIAVE,ITALIA,VE,2003-03-03
SAN DONÀ DI PIAVE,ITALIA,VE,2017-06-24
SAN DONÀ DI PIAVE,ITALIA,VE,2014-07-13
SAN DONÀ DI PIAVE,ITALIA,VE,2005-08-03
PORTOGRUARO,ITALIA,VE,2015-11-10
NOVENTA DI PIAVE,ITALIA,VE,2012-12-21
JESOLO,ITALIA,VE,2002-12-18
PIOVE DI SACCO,ITALIA,PD,2020-09-23
JESOLO,ITALIA,VE,2002-12-18
SAN DONÀ DI PIAVE,ITALIA,VE,2005-09-13
MUSILE DI PIAVE,ITALIA,VE,2013-05-10
MUSILE DI PIAVE,ITALIA,VE,2018-01-17
MUSILE DI PIAVE,ITALIA,VE,2003-05-02
MUSILE DI PIAVE,ITALIA,VE,2018-01-17
SAN DONÀ DI PIAVE,ITALIA,VE,2005-09-13
ODERZO,ITALIA,TV,2020-07-17
SAN DONÀ DI PIAVE,ITALIA,VE,2020-01-27
SAN DONÀ DI PIAVE,ITALIA,VE,2018-04-10
SAN DONÀ DI PIAVE,ITALIA,VE,2014-07-24
MUSILE DI PIAVE,ITALIA,VE,2013-09-07
SAN DONÀ DI PIAVE,ITALIA,VE,2016-01-26
SAN MICHELE AL TAGLIAMENTO,ITALIA,VE,2020-06-17
CHIARANO,ITALIA,TV,2009-03-13
SAN DONÀ DI PIAVE,ITALIA,VE,2000-01-24
SAN DONÀ DI PIAVE,ITALIA,VE,2010-02-04
SAN DONÀ DI PIAVE,ITALIA,VE,2013-05-29
NOVENTA DI PIAVE,ITALIA,VE,2005-01-04
CONEGLIANO,ITALIA,TV,2016-02-02
MARENO DI PIAVE,ITALIA,TV,2005-01-03
MARENO DI PIAVE,ITALIA,TV,2005-01-03
MIRA,ITALIA,VE,2003-12-17
ERACLEA,ITALIA,VE,2009-07-15
CAORLE,ITALIA,VE,2004-09-06
ERACLEA,ITALIA,VE,2009-07-15
ERACLEA,ITALIA,VE,2009-07-15
ERACLEA,ITALIA,VE,2009-07-15
ERACLEA,ITALIA,VE,2001-07-03
ERACLEA,ITALIA,VE,2003-09-17
SAN DONÀ DI PIAVE,ITALIA,VE,2017-06-12
SAN DONÀ DI PIAVE,ITALIA,VE,2009-09-25
SAN DONÀ DI PIAVE,ITALIA,VE,2020-06-09
SAN DONÀ DI PIAVE,ITALIA,VE,2014-10-20
SAN DONÀ DI PIAVE,ITALIA,VE,2001-07-24
SAN DONÀ DI PIAVE,ITALIA,VE,2020-07-01
ERACLEA,ITALIA,VE,2000-04-18
ERACLEA,ITALIA,VE,2000-04-18
SAN DONÀ DI PIAVE,ITALIA,VE,2013-12-03
SAN DONÀ DI PIAVE,ITALIA,VE,2003-11-04
,DANIMARCA,,2011-06-23
NOVENTA DI PIAVE,ITALIA,VE,2018-02-24
CAVALLINO-TREPORTI,ITALIA,VE,2019-04-18
MUSILE DI PIAVE,ITALIA,VE,2014-07-04
JESOLO,ITALIA,VE,2013-01-03
SAN DONÀ DI PIAVE,ITALIA,VE,2020-08-31
SAN DONÀ DI PIAVE,ITALIA,VE,2001-08-07
CAVALLINO-TREPORTI,ITALIA,VE,2005-10-08
MUSILE DI PIAVE,ITALIA,VE,2015-10-15
FOSSALTA DI PIAVE,ITALIA,VE,2001-08-13
MUSILE DI PIAVE,ITALIA,VE,2020-07-31
PIEVE DI SOLIGO,ITALIA,TV,2001-06-23
SAN DONÀ DI PIAVE,ITALIA,VE,2003-01-28
NOVENTA DI PIAVE,ITALIA,VE,2014-01-04
MUSILE DI PIAVE,ITALIA,VE,2014-10-15
NOVENTA DI PIAVE,ITALIA,VE,2016-06-23
MUSILE DI PIAVE,ITALIA,VE,2014-10-15
TORRE DI MOSTO,ITALIA,VE,2014-10-31
ODERZO,ITALIA,TV,2014-11-28
MUSILE DI PIAVE,ITALIA,VE,2014-10-15
MUSILE DI PIAVE,ITALIA,VE,2017-11-04
SAN DONÀ DI PIAVE,ITALIA,VE,2015-06-30
MUSILE DI PIAVE,ITALIA,VE,2003-09-11
MUSILE DI PIAVE,ITALIA,VE,2017-11-04
SAN DONÀ DI PIAVE,ITALIA,VE,2007-12-25
JESOLO,ITALIA,VE,2012-07-24
SAN DONÀ DI PIAVE,ITALIA,VE,2011-02-15
JESOLO,ITALIA,VE,2008-08-19
JESOLO,ITALIA,VE,2009-06-23
SAN DONÀ DI PIAVE,ITALIA,VE,2014-08-10
SAN DONÀ DI PIAVE,ITALIA,VE,2004-01-09
JESOLO,ITALIA,VE,2009-06-23
JESOLO,ITALIA,VE,2008-11-25
SAN DONÀ DI PIAVE,ITALIA,VE,2011-12-15
JESOLO,ITALIA,VE,2013-07-27
SAN DONÀ DI PIAVE,ITALIA,VE,2009-04-22
JESOLO,ITALIA,VE,2020-10-22
CAVALLINO-TREPORTI,ITALIA,VE,2005-09-10
SAN DONÀ DI PIAVE,ITALIA,VE,2003-01-23
CAVALLINO-TREPORTI,ITALIA,VE,2005-09-10
FELTRE,ITALIA,BL,2018-09-03
ORMELLE,ITALIA,TV,2002-10-05
SAN DONÀ DI PIAVE,ITALIA,VE,2017-07-14
PONTE DI PIAVE,ITALIA,TV,2003-09-27
JESOLO,ITALIA,VE,2011-12-13
NOVENTA DI PIAVE,ITALIA,VE,2017-05-13
NOVENTA DI PIAVE,ITALIA,VE,2013-07-26
JESOLO,ITALIA,VE,2016-01-13
VENEZIA,ITALIA,VE,2005-06-11
VEDELAGO,ITALIA,TV,2017-05-12
CONCORDIA SAGITTARIA,ITALIA,VE,2017-11-30
NOVENTA DI PIAVE,ITALIA,VE,2007-10-11
NOVENTA DI PIAVE,ITALIA,VE,2007-10-11
NOVENTA DI PIAVE,ITALIA,VE,2007-10-11
SAN DONÀ DI PIAVE,ITALIA,VE,2006-09-05
PADOVA,ITALIA,PD,2005-07-20
SAN DONÀ DI PIAVE,ITALIA,VE,2009-07-02
ROMA,ITALIA,RM,2010-07-21
PONTE DI PIAVE,ITALIA,TV,2016-05-04
PONTE DI PIAVE,ITALIA,TV,2016-05-04
PONTE DI PIAVE,ITALIA,TV,2016-05-04
PONTE DI PIAVE,ITALIA,TV,2016-05-04
MOTTA DI LIVENZA,ITALIA,TV,2020-06-12
MOTTA DI LIVENZA,ITALIA,TV,2020-06-12
,MALI,,2018-02-03
ERACLEA,ITALIA,VE,2020-03-21
RONCADE,ITALIA,TV,2018-10-12
TORREBELVICINO,ITALIA,VI,2019-06-07
,BELGIO,,2007-09-26
NOVENTA DI PIAVE,ITALIA,VE,2019-02-09
,ALBANIA,,2008-05-10
CASSANO D'ADDA,ITALIA,MI,2004-05-15
SAN DONÀ DI PIAVE,ITALIA,VE,2008-09-20
SAN DONÀ DI PIAVE,ITALIA,VE,2012-09-03
SAN DONÀ DI PIAVE,ITALIA,VE,2014-06-08
MUSILE DI PIAVE,ITALIA,VE,2012-08-01
SAN DONÀ DI PIAVE,ITALIA,VE,2008-10-07
MUSILE DI PIAVE,ITALIA,VE,2016-09-28
SAN DONÀ DI PIAVE,ITALIA,VE,2001-11-17
MUSILE DI PIAVE,ITALIA,VE,2017-02-14
SAN DONÀ DI PIAVE,ITALIA,VE,2003-10-14
,ROMANIA,,2008-01-29
,ALBANIA,,2019-04-15
SAN DONÀ DI PIAVE,ITALIA,VE,2016-02-13
GRUARO,ITALIA,VE,2008-02-09
SAN DONÀ DI PIAVE,ITALIA,VE,2003-07-13
,ALBANIA,,2003-01-25
SAN DONÀ DI PIAVE,ITALIA,VE,2011-03-22
SAN DONÀ DI PIAVE,ITALIA,VE,2005-03-30
,ALBANIA,,2003-01-25
SAN DONÀ DI PIAVE,ITALIA,VE,2007-04-30
,ALBANIA,,2001-09-18
SAN MARCO EVANGELISTA,ITALIA,CE,2001-04-02
SAN MARCO EVANGELISTA,ITALIA,CE,2000-05-09
SAN DONÀ DI PIAVE,ITALIA,VE,2003-05-22
ERACLEA,ITALIA,VE,2005-05-30
JESOLO,ITALIA,VE,2000-07-07
JESOLO,ITALIA,VE,2000-02-17
SAN DONÀ DI PIAVE,ITALIA,VE,2017-12-30
ERACLEA,ITALIA,VE,2011-10-28
SAN DONÀ DI PIAVE,ITALIA,VE,2014-03-07
AFRAGOLA,ITALIA,NA,2019-02-06
POGGIO RENATICO,ITALIA,FE,2015-08-08
JESOLO,ITALIA,VE,2008-11-29
NOVENTA DI PIAVE,ITALIA,VE,2013-06-04
MUSILE DI PIAVE,ITALIA,VE,2004-10-30
MUSILE DI PIAVE,ITALIA,VE,2019-10-30
SAN DONÀ DI PIAVE,ITALIA,VE,2006-06-27
NOVENTA DI PIAVE,ITALIA,VE,2015-12-03
MUSILE DI PIAVE,ITALIA,VE,2011-04-06
NOVENTA DI PIAVE,ITALIA,VE,2013-06-04
SAN DONÀ DI PIAVE,ITALIA,VE,2003-07-25
JESOLO,ITALIA,VE,2005-08-06
JESOLO,ITALIA,VE,2019-05-24
SAN DONÀ DI PIAVE,ITALIA,VE,2005-01-31
POVEGLIANO,ITALIA,TV,2018-10-03
NOVENTA DI PIAVE,ITALIA,VE,2013-06-04
JESOLO,ITALIA,VE,2002-05-09
AVIANO,ITALIA,PN,2010-08-27
BELLUNO,ITALIA,BL,2010-02-08
MUSILE DI PIAVE,ITALIA,VE,2016-07-07
CESSALTO,ITALIA,TV,2016-03-09
NOVENTA DI PIAVE,ITALIA,VE,2018-01-11
,ROMANIA,,2009-08-29
,LITUANIA,,2020-09-02
MUSILE DI PIAVE,ITALIA,VE,2011-07-01
VENEZIA,ITALIA,VE,2015-01-14
SAN DONÀ DI PIAVE,ITALIA,VE,2012-11-03
SAN DONÀ DI PIAVE,ITALIA,VE,2017-06-28
FOSSALTA DI PIAVE,ITALIA,VE,2008-06-30
FOSSALTA DI PIAVE,ITALIA,VE,2008-06-30
TRIORA,ITALIA,IM,2012-01-17
QUARONA,ITALIA,VC,2014-04-07
CEGGIA,ITALIA,VE,2016-06-16
VENEZIA,ITALIA,VE,2007-08-24
SAN STINO DI LIVENZA,ITALIA,VE,2016-04-14
SAN DONÀ DI PIAVE,ITALIA,VE,2006-05-22
FOSSALTA DI PIAVE,ITALIA,VE,2011-01-20
JESOLO,ITALIA,VE,2020-11-13
SAN STINO DI LIVENZA,ITALIA,VE,2016-04-14
MUSILE DI PIAVE,ITALIA,VE,2009-10-16
,ROMANIA,,2019-07-23
,ROMANIA,,2019-07-23
,ROMANIA,,2019-03-05
,ROMANIA,,2018-07-14
MEOLO,ITALIA,VE,2009-05-08
,ALBANIA,,2001-07-21
,ALBANIA,,2001-01-02
CEGGIA,ITALIA,VE,2012-11-10
CEGGIA,ITALIA,VE,2012-11-10
,ALBANIA,,2001-07-21
TORINO,ITALIA,TO,2013-03-30
FOSSALTA DI PIAVE,ITALIA,VE,2003-09-25
SAN DONÀ DI PIAVE,ITALIA,VE,2007-10-03
SAN DONÀ DI PIAVE,ITALIA,VE,2009-03-15
SAN DONÀ DI PIAVE,ITALIA,VE,2014-08-11
NOVENTA DI PIAVE,ITALIA,VE,2007-12-04
SAN DONÀ DI PIAVE,ITALIA,VE,2017-11-16
MUSILE DI PIAVE,ITALIA,VE,2018-04-30
GONARS,ITALIA,UD,2002-08-13
SAN DONÀ DI PIAVE,ITALIA,VE,2019-04-03
NOVENTA DI PIAVE,ITALIA,VE,2016-01-28
MUSILE DI PIAVE,ITALIA,VE,2020-06-08
SAN DONÀ DI PIAVE,ITALIA,VE,2004-01-09
SAN DONÀ DI PIAVE,ITALIA,VE,2003-05-11
FOSSALTA DI PIAVE,ITALIA,VE,2003-09-25
MEOLO,ITALIA,VE,2001-12-31
,ROMANIA,,2013-07-31
NOVENTA DI PIAVE,ITALIA,VE,2017-11-18
MUSILE DI PIAVE,ITALIA,VE,2005-12-21
SAN DONÀ DI PIAVE,ITALIA,VE,2014-02-03
SAN DONÀ DI PIAVE,ITALIA,VE,2009-09-19
SAN DONÀ DI PIAVE,ITALIA,VE,2010-01-10
SAN DONÀ DI PIAVE,ITALIA,VE,2016-04-02
JESOLO,ITALIA,VE,2006-11-22
,MESSICO,,2020-01-27
MUSILE DI PIAVE,ITALIA,VE,2005-12-21
,SLOVACCHIA,,2012-12-31
SAN DONÀ DI PIAVE,ITALIA,VE,2006-11-17
NOVENTA DI PIAVE,ITALIA,VE,2020-09-08
SAN DONÀ DI PIAVE,ITALIA,VE,2008-02-06
MUSILE DI PIAVE,ITALIA,VE,2019-11-30
MUSILE DI PIAVE,ITALIA,VE,2000-07-19
MUSILE DI PIAVE,ITALIA,VE,2017-09-13
MUSILE DI PIAVE,ITALIA,VE,2018-04-30
SAN DONÀ DI PIAVE,ITALIA,VE,2017-02-15
CAORLE,ITALIA,VE,2014-02-17
MOTTA DI LIVENZA,ITALIA,TV,2006-08-07
,NIGERIA,,2008-08-08
,NIGERIA,,2008-08-08
,NIGERIA,,2008-08-08
CAORLE,ITALIA,VE,2014-02-17
FOSSALTA DI PIAVE,ITALIA,VE,2008-12-29
MARSALA,ITALIA,TP,2018-02-22
,MAROCCO,,2018-07-25
PORTOGRUARO,ITALIA,VE,2011-03-31
JESOLO,ITALIA,VE,2019-01-30
SAN DONÀ DI PIAVE,ITALIA,VE,2019-08-01
CASELLE TORINESE,ITALIA,TO,2001-11-02
CHIOGGIA,ITALIA,VE,2020-06-24
GIULIANOVA,ITALIA,TE,2013-11-20
JESOLO,ITALIA,VE,2001-10-19
JESOLO,ITALIA,VE,2001-10-19
SAN DONÀ DI PIAVE,ITALIA,VE,2014-12-06
CITTADELLA,ITALIA,PD,2003-06-07
SAN DONÀ DI PIAVE,ITALIA,VE,2010-11-30
SAN DONÀ DI PIAVE,ITALIA,VE,2001-09-08
NAPOLI,ITALIA,NA,2020-07-22
NAPOLI,ITALIA,NA,2020-07-22
AVERSA,ITALIA,CE,2007-06-11
,FEDERAZIONE RUSSA,,2005-06-16
VERONA,ITALIA,VR,2000-12-14
ERACLEA,ITALIA,VE,2007-06-18
STARANZANO,ITALIA,GO,2020-10-14
FOSSALTA DI PIAVE,ITALIA,VE,2019-03-02
SAN DONÀ DI PIAVE,ITALIA,VE,2000-02-15
MUSILE DI PIAVE,ITALIA,VE,2000-09-04
ERACLEA,ITALIA,VE,2013-09-16
CAVALLINO-TREPORTI,ITALIA,VE,2003-05-20
FOSSALTA DI PIAVE,ITALIA,VE,2019-03-02
CAVALLINO-TREPORTI,ITALIA,VE,2007-10-23
CAVALLINO-TREPORTI,ITALIA,VE,2007-12-18
VERONA,ITALIA,VR,2017-06-27
SAN DONÀ DI PIAVE,ITALIA,VE,2015-07-20
CAVALLINO-TREPORTI,ITALIA,VE,2003-02-12
CONEGLIANO,ITALIA,TV,2013-05-30
PORDENONE,ITALIA,PN,2004-01-20
SAN DONÀ DI PIAVE,ITALIA,VE,2003-12-11
PORDENONE,ITALIA,PN,2004-01-20
MUSILE DI PIAVE,ITALIA,VE,2020-11-09
PORDENONE,ITALIA,PN,2004-01-20
MUSILE DI PIAVE,ITALIA,VE,2018-05-24
CAORLE,ITALIA,VE,2002-08-27
VENEZIA,ITALIA,VE,2020-04-29
VENEZIA,ITALIA,VE,2020-04-29
SAN DONÀ DI PIAVE,ITALIA,VE,2015-09-16
SAN DONÀ DI PIAVE,ITALIA,VE,2008-06-28
MOLFETTA,ITALIA,BA,2002-06-25
SAN DONÀ DI PIAVE,ITALIA,VE,2004-07-30
ODERZO,ITALIA,TV,2010-09-25
SAN DONÀ DI PIAVE,ITALIA,VE,2016-05-23
ASSISI,ITALIA,PG,2013-01-24
SESTO AL REGHENA,ITALIA,PN,2019-04-29
PADOVA,ITALIA,PD,2007-03-24
MUSILE DI PIAVE,ITALIA,VE,2017-05-09
CAORLE,ITALIA,VE,2014-10-08
SAN DONÀ DI PIAVE,ITALIA,VE,2006-10-20
TORRE DI MOSTO,ITALIA,VE,2003-10-25
TORRE DI MOSTO,ITALIA,VE,2010-09-03
SAN DONÀ DI PIAVE,ITALIA,VE,2000-01-04
MEOLO,ITALIA,VE,2013-05-02
,STATI UNITI D'AMERICA,,2002-06-10
ERACLEA,ITALIA,VE,2005-03-22
FOSSALTA DI PIAVE,ITALIA,VE,2015-07-30
MUSILE DI PIAVE,ITALIA,VE,2016-05-27
ERACLEA,ITALIA,VE,2009-07-15
SAN DONÀ DI PIAVE,ITALIA,VE,2018-05-23
SAN DONÀ DI PIAVE,ITALIA,VE,2006-05-10
SAN DONÀ DI PIAVE,ITALIA,VE,2003-06-12
TORINO,ITALIA,TO,2017-11-23
TORINO,ITALIA,TO,2018-04-14
PEDACE,ITALIA,CS,2006-06-03
CEREA,ITALIA,VR,2015-07-30
SAN DONÀ DI PIAVE,ITALIA,VE,2016-08-10
MILANO,ITALIA,MI,2005-07-06
SAN DONÀ DI PIAVE,ITALIA,VE,2000-03-23
MILANO,ITALIA,MI,2005-07-06
ODERZO,ITALIA,TV,2005-04-26
ERACLEA,ITALIA,VE,2002-07-02
ERACLEA,ITALIA,VE,2002-07-02
SAN DONÀ DI PIAVE,ITALIA,VE,2004-01-29
VENEZIA,ITALIA,VE,2003-10-08
SAN DONÀ DI PIAVE,ITALIA,VE,2000-08-25
RAVENNA,ITALIA,RA,2005-01-10
MUSILE DI PIAVE,ITALIA,VE,2014-01-31
GORGO AL MONTICANO,ITALIA,TV,2002-05-13
,REPUBBLICA DOMINICANA,,2003-12-16
,BRASILE,,2013-07-08
,BRASILE,,2019-01-26
SAN VENDEMIANO,ITALIA,TV,2020-02-12
CASAL DI PRINCIPE,ITALIA,CE,2016-02-12
VENEZIA,ITALIA,VE,2005-06-20
SAN DONÀ DI PIAVE,ITALIA,VE,2013-05-27
CAORLE,ITALIA,VE,2007-06-04
SANTO STINO DI LIVENZA,ITALIA,VE,2009-02-26
VENEZIA,ITALIA,VE,2011-10-15
,MESSICO,,2008-08-08
SAN BIAGIO DI CALLALTA,ITALIA,TV,2016-11-02
NOVENTA DI PIAVE,ITALIA,VE,2020-01-15
MUSILE DI PIAVE,ITALIA,VE,2016-07-19
SAN DONÀ DI PIAVE,ITALIA,VE,2004-05-22
SAN DONÀ DI PIAVE,ITALIA,VE,2001-04-19
MELITO DI NAPOLI,ITALIA,NA,2017-07-29
SAN DONÀ DI PIAVE,ITALIA,VE,2002-08-06
SAN DONÀ DI PIAVE,ITALIA,VE,2011-06-28
ERACLEA,ITALIA,VE,2018-06-18
MUSILE DI PIAVE,ITALIA,VE,2016-07-19
MELITO DI NAPOLI,ITALIA,NA,2017-07-29
SAN DONÀ DI PIAVE,ITALIA,VE,2006-05-15
MUSILE DI PIAVE,ITALIA,VE,2016-07-19
NAPOLI,ITALIA,NA,2017-07-29
SAN DONÀ DI PIAVE,ITALIA,VE,2007-12-27
TORRICE,ITALIA,FR,2006-02-07
CASORIA,ITALIA,NA,2020-03-06
JESOLO,ITALIA,VE,2013-05-22
TREVISO,ITALIA,TV,2009-11-02
SAN DONÀ DI PIAVE,ITALIA,VE,2020-09-18
VEDELAGO,ITALIA,TV,2017-05-12
MUSILE DI PIAVE,ITALIA,VE,2002-05-10
POZZOLO FORMIGARO,ITALIA,AL,2005-01-08
ERACLEA,ITALIA,VE,2011-12-13
